boosts,damageDealt,DBNOs,kills,killStreaks,longestKill,walkDistance,weaponsAcquired
7,834.4,0,7,1,78.87,3420.0,7
10,978.6,4,9,2,140.1,3494.0,7
3,674.9,4,5,2,66.57,3242.0,9
4,869.2,4,9,2,164.1,2583.0,3
2,608.1,7,7,2,270.9,4669.0,7
8,1246.0,7,12,2,137.8,3628.0,5
2,844.9,7,9,3,62.26,2586.0,8
1,882.0,0,9,1,111.1,2799.0,9
3,311.2,2,5,2,53.7,2030.0,5
5,538.7,3,6,2,86.52,3697.0,7
5,686.4,4,8,2,142.4,3075.0,6
7,562.4,4,7,2,43.18,1743.0,5
5,863.5,4,7,2,135.0,2150.0,12
4,1131.0,8,9,2,148.4,2915.0,6
1,411.6,5,8,2,57.37,491.0,6
4,421.6,4,5,2,173.2,3228.0,3
8,653.0,4,6,2,421.0,3634.0,11
3,641.5,4,7,2,83.68,2882.0,2
4,362.7,2,5,2,355.0,3912.0,4
3,899.4,6,7,2,247.5,3666.0,9
6,490.1,5,7,3,225.4,2879.0,7
4,1085.0,4,11,7,39.09,296.0,3
4,952.7,6,10,2,277.4,2301.0,7
3,599.5,2,7,2,14.94,1833.0,9
9,751.6,0,7,1,38.61,3212.0,6
4,877.0,3,8,2,79.2,2132.0,7
4,959.7,0,8,1,214.0,5219.0,6
4,1233.0,11,9,2,317.1,2827.0,3
6,654.8,4,5,2,187.6,2785.0,4
0,664.5,0,6,1,220.3,2728.0,4
8,1040.0,4,8,2,37.83,2852.0,9
6,457.6,3,4,1,52.02,2938.0,2
4,734.6,6,7,3,147.5,2739.0,5
4,1022.0,11,8,3,37.8,2168.0,4
5,877.5,3,8,2,69.72,2788.0,5
4,684.7,6,9,4,191.9,2225.0,5
3,802.2,6,8,3,30.28,2791.0,5
5,949.5,0,9,2,48.01,1751.0,5
7,833.7,0,10,2,153.2,3330.0,6
8,641.0,3,8,2,134.6,2474.0,10
3,467.2,4,5,2,261.7,2474.0,7
1,717.7,6,6,2,116.8,2944.0,7
5,433.6,3,5,2,24.69,2144.0,6
4,773.9,6,7,3,110.9,2582.0,6
4,1126.0,7,9,2,64.68,2179.0,4
4,632.4,5,10,2,66.79,3245.0,5
2,394.5,3,5,3,127.0,1571.0,3
4,933.3,8,7,2,83.98,5137.0,6
5,1326.0,5,10,1,160.4,2669.0,4
5,599.2,0,7,1,217.0,2765.0,5
5,886.7,4,9,2,118.9,2748.0,9
6,694.6,5,8,2,137.1,3544.0,8
3,482.8,5,6,5,49.05,3291.0,2
11,948.1,7,10,3,77.32,3180.0,3
4,766.4,5,8,3,67.66,2706.0,4
4,769.3,4,8,2,159.0,5347.0,10
7,593.3,7,7,2,174.9,3126.0,5
9,1217.0,7,10,3,121.9,3299.0,3
6,684.1,4,9,2,45.12,2161.0,4
2,783.4,8,9,4,85.43,2437.0,5
5,695.9,4,6,2,111.6,3862.0,3
5,1023.0,8,11,3,195.7,2819.0,5
3,833.5,5,9,2,202.0,3548.0,6
6,846.1,6,10,3,120.7,3193.0,8
3,653.8,4,6,1,55.91,1918.0,7
8,688.3,3,6,2,185.3,3184.0,5
3,858.9,4,7,4,28.33,1629.0,5
2,987.1,8,9,3,80.95,3173.0,9
6,761.9,5,9,2,125.6,3910.0,5
4,726.0,5,7,2,45.17,3383.0,9
11,1034.0,6,9,1,106.7,3750.0,5
4,822.7,4,8,2,107.2,3459.0,7
3,968.7,0,7,1,84.57,2991.0,5
4,995.8,5,11,2,63.5,3003.0,7
1,541.8,4,6,3,40.34,900.5,1
5,708.2,3,7,2,108.0,2844.0,5
7,714.2,4,7,2,75.08,2402.0,6
10,1107.0,5,6,2,291.0,3912.0,6
3,580.2,3,7,3,90.88,1735.0,7
6,816.4,6,11,2,147.2,2180.0,9
3,458.5,5,7,2,111.0,2549.0,5
3,861.0,4,10,2,49.97,2440.0,9
9,628.2,5,8,2,268.4,3381.0,8
2,942.9,5,8,2,241.7,3517.0,5
10,377.9,4,5,1,77.18,3653.0,4
6,769.4,5,9,2,68.19,2149.0,5
7,884.5,6,9,2,84.34,2756.0,5
7,842.9,0,9,2,228.4,3398.0,8
4,1048.0,6,10,2,133.0,3371.0,3
5,591.3,8,11,3,57.82,3134.0,5
4,1205.0,10,13,3,182.2,3437.0,7
6,639.2,4,9,2,85.79,3934.0,6
7,792.3,0,9,2,195.2,3741.0,7
5,782.6,5,9,3,34.87,3421.0,8
8,793.0,0,9,1,311.9,4218.0,5
7,964.1,9,9,2,297.2,1806.0,4
2,519.5,4,7,3,211.6,1775.0,4
2,220.8,2,6,2,41.96,420.2,2
4,1323.0,9,8,2,114.8,1853.0,6
6,1139.0,8,12,2,225.8,3568.0,5
4,1332.0,9,11,3,327.2,4083.0,7
5,817.6,8,10,3,107.3,3540.0,6
5,587.0,5,7,3,126.8,4026.0,3
9,862.8,0,8,1,104.9,3451.0,4
4,604.9,6,8,2,189.3,2624.0,3
2,552.5,3,6,2,170.9,2924.0,5
6,1104.0,0,12,3,33.07,2425.0,5
6,832.3,4,6,2,228.4,2409.0,8
6,447.2,2,5,2,163.6,3790.0,5
5,502.8,2,5,2,158.0,1649.0,8
5,722.7,4,7,3,91.91,3729.0,4
9,765.2,3,7,2,96.3,2590.0,6
8,612.1,3,6,2,155.9,3328.0,5
1,1024.0,5,8,3,424.6,4319.0,7
2,594.7,2,6,2,101.1,2271.0,8
6,507.3,5,5,2,34.7,2834.0,5
3,709.0,4,6,2,87.04,3178.0,9
6,785.7,3,8,2,101.0,3439.0,3
7,621.3,0,7,1,73.85,2871.0,4
7,758.0,0,8,1,46.78,3628.0,4
4,554.3,6,7,2,177.8,2572.0,5
4,476.9,3,6,2,132.3,1891.0,4
3,801.5,5,10,3,234.3,2738.0,7
3,848.5,3,7,1,306.5,2854.0,6
3,279.8,2,5,1,223.7,2532.0,8
6,529.1,2,5,1,102.0,3167.0,4
2,964.2,7,10,2,65.43,3753.0,9
4,815.7,6,12,3,236.1,2511.0,7
4,789.3,4,7,2,105.3,2321.0,6
5,1078.0,6,12,3,155.5,3328.0,4
3,833.9,0,9,1,129.6,3994.0,6
3,975.3,6,10,3,155.7,2272.0,5
8,1172.0,8,15,4,149.8,3965.0,2
6,827.1,1,5,2,126.0,2256.0,5
3,481.7,3,6,2,51.24,3534.0,3
5,536.7,5,7,1,417.8,2511.0,4
3,401.5,4,7,2,357.6,3427.0,6
6,786.9,2,6,2,197.9,3520.0,2
9,360.1,2,7,2,78.54,3226.0,9
8,1568.0,12,17,4,147.3,2400.0,4
6,618.3,3,8,2,91.93,3841.0,9
1,988.0,5,12,2,242.4,5704.0,9
3,434.8,1,6,1,212.2,2098.0,3
8,702.0,3,8,2,169.4,3817.0,5
3,881.1,0,8,1,106.9,2530.0,7
3,756.9,6,9,3,279.9,2933.0,9
10,990.6,0,9,2,185.4,3398.0,4
7,1325.0,6,11,2,180.7,5133.0,7
8,818.0,0,9,2,63.94,3030.0,5
3,1151.0,6,8,2,245.9,3344.0,6
3,753.2,0,7,2,72.68,2961.0,7
6,525.7,6,10,2,120.7,4587.0,7
1,688.9,5,10,2,156.5,2021.0,7
5,969.1,6,7,3,283.3,3635.0,9
3,1327.0,8,9,3,291.7,5677.0,7
8,752.7,0,8,6,651.3,2145.0,7
3,783.0,6,8,3,208.2,2823.0,6
7,1169.0,3,9,2,213.8,4495.0,11
4,885.9,6,6,2,23.19,1899.0,8
2,612.0,0,6,3,57.63,1472.0,2
3,700.8,4,6,2,117.5,2866.0,6
7,813.1,6,9,2,138.4,3374.0,8
2,489.2,4,6,1,68.45,1769.0,5
5,422.3,2,6,1,253.6,4637.0,6
7,961.1,7,10,3,85.57,4585.0,4
4,676.7,4,8,3,54.77,2205.0,6
8,598.1,5,6,2,76.46,3564.0,2
6,803.2,4,8,2,36.84,2421.0,5
8,946.8,8,10,3,114.1,3740.0,6
5,587.7,4,7,1,135.4,2420.0,3
6,797.4,0,8,2,87.16,2794.0,5
5,518.5,2,5,1,284.3,3155.0,5
9,969.8,5,8,3,162.9,2817.0,3
7,836.9,3,8,3,54.27,2078.0,7
5,854.0,0,9,2,50.47,3141.0,4
4,479.4,0,5,2,126.0,2787.0,5
3,1054.0,4,7,2,129.8,2499.0,5
5,769.6,6,7,3,104.3,3118.0,4
5,853.8,4,9,2,130.2,3403.0,3
6,846.2,4,9,2,151.1,2920.0,5
1,912.1,7,8,2,29.07,2171.0,5
1,933.5,5,9,2,221.0,3168.0,4
4,613.7,5,7,2,205.5,2819.0,5
7,824.1,6,8,2,250.2,1792.0,6
10,510.5,2,6,2,105.8,2647.0,8
7,1338.0,5,11,4,183.5,4056.0,8
8,1298.0,3,10,2,66.91,3768.0,4
3,1034.0,7,7,2,144.2,3715.0,7
6,700.0,3,8,2,175.0,3092.0,5
4,649.4,6,10,3,157.7,3265.0,9
3,645.6,3,6,2,322.5,4184.0,5
5,680.0,5,6,2,30.38,3271.0,5
7,600.3,4,7,2,53.85,3160.0,3
10,975.7,6,9,2,42.12,2361.0,7
5,591.1,6,7,4,54.49,3646.0,5
3,776.2,4,6,4,68.24,1131.0,5
4,870.0,5,7,2,70.4,2444.0,5
7,1083.0,7,9,3,80.07,2198.0,5
4,790.3,5,8,1,74.3,2638.0,4
8,1186.0,5,10,2,73.06,2754.0,5
9,872.8,0,10,1,141.1,3553.0,7
1,725.2,4,8,3,164.7,3539.0,5
7,838.0,0,9,2,71.24,3444.0,4
6,495.4,4,6,2,103.1,3449.0,3
7,1111.0,8,8,2,161.4,2728.0,5
5,752.2,5,7,3,238.1,3759.0,4
4,686.1,5,7,3,242.3,2671.0,5
6,627.0,0,6,1,74.46,1558.0,4
2,710.5,4,6,3,90.47,2542.0,10
4,901.8,7,9,4,85.18,3076.0,5
6,819.7,2,6,2,225.9,2545.0,7
5,805.5,3,7,2,123.0,2514.0,6
6,646.7,7,7,1,130.0,2227.0,10
4,749.2,8,6,3,166.3,2341.0,5
6,1074.0,4,8,2,258.0,3953.0,5
8,1274.0,0,13,2,211.3,2559.0,5
6,630.6,5,5,2,170.5,3511.0,6
5,649.7,5,6,2,75.07,3022.0,5
3,1854.0,13,15,3,158.1,3703.0,3
1,419.5,3,7,3,56.2,1676.0,3
2,617.2,6,8,2,88.95,3489.0,7
6,870.9,3,6,2,294.2,4540.0,9
3,572.8,4,7,3,247.5,3412.0,8
3,487.9,5,6,2,159.8,1049.0,6
3,598.2,6,9,3,349.8,1293.0,7
3,503.6,1,6,1,194.7,3042.0,4
5,1135.0,8,12,2,85.47,4118.0,4
5,729.3,0,8,2,277.8,3974.0,8
5,877.0,6,8,2,72.03,2837.0,6
6,585.7,4,8,2,304.2,3079.0,7
3,728.0,4,7,2,50.6,2254.0,8
8,613.1,5,8,5,341.8,3869.0,2
3,789.5,4,9,2,178.3,2735.0,9
3,1130.0,0,11,1,185.0,3202.0,6
6,979.7,5,10,2,124.8,3349.0,7
2,1721.0,9,7,2,309.7,4407.0,6
4,917.0,7,6,2,29.6,3464.0,5
3,622.0,5,7,2,111.0,1864.0,7
4,634.7,7,9,2,177.5,3731.0,4
7,1095.0,5,8,2,181.3,2984.0,7
4,920.5,2,8,2,65.94,2398.0,2
8,416.1,3,6,1,51.07,1575.0,3
4,591.2,4,5,1,139.1,2560.0,5
9,1504.0,12,16,2,109.8,3265.0,5
4,389.6,5,7,2,42.87,2257.0,6
5,974.2,7,9,2,33.63,3588.0,8
5,691.1,3,8,2,154.3,3311.0,5
7,904.7,6,7,2,129.3,1963.0,6
10,1035.0,8,7,3,94.06,2109.0,4
7,581.2,0,7,1,45.71,2434.0,7
5,788.8,5,6,2,64.69,4399.0,6
4,860.2,7,7,3,165.5,2674.0,6
11,892.2,0,9,1,300.1,3532.0,8
6,767.2,4,9,3,44.54,2858.0,5
6,479.3,3,6,2,119.9,3219.0,4
4,685.5,4,7,3,412.4,2604.0,5
7,741.7,0,7,2,210.2,1396.0,6
5,621.9,4,7,1,42.65,2641.0,12
8,920.0,6,7,2,46.16,1832.0,4
2,980.7,7,7,2,86.85,2649.0,5
4,527.1,3,7,2,320.7,3796.0,7
6,508.8,2,6,2,81.46,2804.0,4
8,844.5,8,8,2,159.5,2607.0,11
1,583.2,3,5,2,52.26,3057.0,4
2,674.7,6,8,2,25.58,3121.0,5
5,624.3,5,5,2,53.52,2930.0,7
3,788.3,5,7,2,43.93,3344.0,5
6,783.9,5,7,2,49.74,1044.0,2
4,959.5,3,7,2,82.85,2943.0,6
6,1117.0,5,10,2,177.1,2098.0,7
4,1203.0,9,8,3,275.9,1442.0,6
4,1142.0,7,9,2,342.8,3665.0,3
7,439.0,2,6,2,45.37,1964.0,5
7,812.2,4,8,4,81.91,1019.0,10
2,752.5,7,8,2,32.37,3691.0,5
2,750.1,6,8,3,101.3,2297.0,7
5,995.4,3,8,2,255.6,2749.0,7
7,750.3,5,6,2,41.6,2259.0,7
3,562.5,3,6,2,156.8,3044.0,5
2,694.4,0,6,2,152.5,1517.0,5
5,758.0,5,8,2,123.2,3387.0,4
6,831.3,6,8,2,150.7,4323.0,6
2,526.3,6,8,2,32.44,1896.0,6
6,1377.0,10,13,3,196.4,4972.0,5
1,923.6,6,6,1,167.8,1942.0,8
2,538.6,5,7,3,170.1,3248.0,6
6,749.0,3,6,2,140.0,2686.0,3
5,1093.0,4,11,2,102.5,4037.0,4
5,564.9,3,6,1,183.8,3786.0,9
4,786.3,5,9,2,101.7,3277.0,6
6,619.2,3,7,2,402.3,3131.0,4
3,742.5,4,8,2,90.05,3469.0,5
7,1467.0,0,14,1,289.2,2767.0,5
5,760.1,5,7,2,72.3,2198.0,3
6,1001.0,9,11,4,57.0,3225.0,4
5,637.2,3,6,1,304.4,2783.0,6
6,811.0,5,6,2,88.36,3340.0,8
9,549.6,3,6,2,93.43,3192.0,8
1,922.7,10,9,2,78.52,1154.0,3
0,959.4,8,7,4,117.7,1823.0,4
1,571.8,4,6,2,108.1,3553.0,6
5,1232.0,7,7,2,110.1,2444.0,5
2,578.5,4,8,1,143.5,3157.0,5
2,633.9,4,7,2,86.51,3138.0,2
5,838.8,0,8,1,259.9,5189.0,7
4,667.6,2,7,2,47.44,2109.0,4
7,730.9,6,6,2,38.13,2156.0,8
2,767.9,5,9,3,99.4,2798.0,4
7,542.6,0,6,1,23.31,3980.0,8
7,747.6,4,9,2,159.5,2789.0,8
4,739.9,0,8,1,274.8,2746.0,4
8,1051.0,7,8,2,98.15,3212.0,6
4,832.0,0,9,2,43.32,2496.0,8
3,1092.0,9,7,3,43.98,1058.0,3
2,622.2,0,7,2,152.8,3133.0,7
0,964.4,0,11,2,317.8,1104.0,15
8,678.7,4,7,2,149.2,3532.0,6
3,906.1,7,6,2,212.0,2703.0,7
6,773.2,5,9,3,115.3,1209.0,4
6,725.4,3,5,2,98.66,1988.0,8
11,934.2,4,8,2,222.2,2977.0,4
4,784.0,2,8,2,56.47,3842.0,3
6,1375.0,7,10,2,271.2,3480.0,9
4,1149.0,6,9,2,43.3,1769.0,2
2,1004.0,9,9,3,296.5,4273.0,4
5,747.4,4,8,2,134.5,2569.0,8
1,610.8,5,7,3,50.36,2873.0,4
6,842.2,5,7,2,359.5,4183.0,4
7,1354.0,10,14,4,188.7,3814.0,5
5,1078.0,8,9,2,130.7,2239.0,9
7,858.8,9,13,2,479.6,2242.0,6
6,889.0,0,9,2,65.14,2301.0,4
4,611.3,4,5,1,158.1,2739.0,10
5,620.3,6,6,2,37.14,2828.0,6
0,1321.0,13,16,3,188.0,1161.0,15
4,817.9,6,7,2,75.91,3347.0,3
6,725.1,0,6,2,118.2,2968.0,7
4,1012.0,5,8,3,149.4,4355.0,4
3,791.1,5,9,2,213.1,3426.0,9
3,1239.0,8,10,3,149.4,3601.0,5
3,989.5,8,8,4,157.5,3502.0,2
7,592.5,2,5,2,93.92,3754.0,7
7,577.0,6,8,4,83.69,3284.0,5
5,1214.0,5,9,2,130.6,2307.0,6
8,713.9,4,6,3,116.3,3257.0,6
2,1706.0,12,16,3,382.9,2894.0,5
1,825.2,5,8,2,335.6,1701.0,7
4,798.2,5,7,2,80.63,2884.0,5
4,756.8,3,8,2,174.2,3610.0,5
3,771.6,2,6,2,29.17,2522.0,5
5,653.5,6,7,2,248.6,4639.0,9
6,1441.0,0,11,3,113.7,2232.0,4
4,644.8,8,8,2,169.2,4040.0,4
3,460.9,3,5,1,46.39,2941.0,7
10,531.1,3,6,2,47.18,2983.0,7
6,751.7,6,7,4,115.5,3653.0,4
6,725.3,6,6,1,171.7,3067.0,4
4,1550.0,14,16,4,953.6,3390.0,4
5,978.8,5,6,2,134.5,3450.0,5
2,788.8,5,6,3,123.6,4053.0,5
4,391.8,2,5,1,119.0,1421.0,4
6,765.4,5,7,2,123.4,1516.0,7
3,1463.0,9,11,3,149.4,2526.0,7
5,883.0,7,8,2,189.3,3778.0,7
7,834.9,6,9,2,294.6,3371.0,6
6,899.3,5,7,2,228.9,2328.0,9
6,625.3,3,7,2,129.9,3497.0,6
9,1379.0,8,8,2,268.8,2553.0,8
6,961.0,5,9,2,86.45,3524.0,4
3,757.5,8,5,1,226.4,2479.0,7
8,970.9,0,10,1,142.3,2889.0,3
5,909.8,3,6,2,177.6,3016.0,8
8,1208.0,0,10,1,67.88,3167.0,3
6,746.4,0,7,1,127.7,1600.0,7
7,888.5,7,8,2,122.5,2142.0,5
6,1136.0,6,10,3,176.8,3015.0,6
4,617.2,7,8,3,135.1,3525.0,6
7,977.6,2,8,2,97.0,2389.0,3
6,1891.0,12,16,4,569.0,1957.0,4
8,630.9,7,8,2,123.9,2670.0,4
8,1058.0,10,12,4,149.2,2721.0,2
3,1162.0,9,14,2,120.7,3822.0,5
1,383.6,3,7,4,53.17,2419.0,5
5,596.0,5,7,2,324.7,3546.0,5
4,701.8,0,8,1,211.4,2289.0,6
8,543.1,1,4,1,285.6,2641.0,6
4,983.9,7,9,4,93.04,3596.0,6
6,766.9,3,8,2,84.55,4125.0,3
6,678.2,0,5,1,316.9,2582.0,9
3,425.0,2,6,2,72.39,1454.0,4
6,878.1,0,9,1,62.36,2625.0,6
1,670.7,4,7,2,118.7,2014.0,6
5,1738.0,0,15,1,248.8,2392.0,4
3,681.8,4,6,2,47.73,591.8,3
5,552.1,4,8,2,148.6,1419.0,10
1,972.9,7,8,3,153.5,3113.0,6
5,749.5,4,7,2,50.02,2727.0,3
3,784.9,6,7,3,125.8,2837.0,5
4,643.0,3,6,2,123.0,3635.0,6
6,1159.0,0,10,1,215.9,3716.0,9
8,963.9,0,9,1,133.2,3104.0,6
2,721.1,5,6,3,41.42,292.0,3
4,610.2,5,8,3,56.77,2754.0,6
2,450.2,2,6,2,138.6,2955.0,3
6,648.5,4,7,2,200.2,4118.0,7
6,1039.0,0,10,1,174.0,2942.0,8
5,549.9,3,7,2,25.19,2975.0,6
5,620.0,2,7,2,365.8,2958.0,5
4,844.0,2,9,2,304.5,2272.0,11
4,972.2,7,8,2,268.6,2645.0,7
3,498.8,6,6,2,95.54,3136.0,4
6,693.8,0,8,2,59.3,2410.0,4
1,566.8,6,7,4,78.27,2360.0,2
3,692.9,3,7,2,73.98,2051.0,6
4,524.7,0,6,2,162.8,4571.0,4
7,649.7,3,8,1,185.1,2941.0,11
3,681.4,3,6,2,55.75,2446.0,4
3,1239.0,9,8,2,170.4,2913.0,12
2,698.0,5,8,3,22.07,649.7,3
3,691.3,6,8,3,61.17,2678.0,3
4,900.5,5,8,2,163.0,1835.0,5
5,867.8,8,10,3,38.09,2482.0,4
2,413.4,5,7,1,95.55,1922.0,2
4,572.3,3,7,2,153.6,3114.0,3
4,760.6,6,8,3,126.9,3049.0,6
8,722.9,0,9,2,215.1,3255.0,9
4,798.6,7,5,2,86.42,1998.0,4
5,859.9,0,8,1,74.76,2302.0,7
5,436.3,2,5,2,61.87,3249.0,6
6,655.7,0,7,1,71.61,2390.0,5
2,765.8,0,7,1,187.4,3752.0,7
7,713.0,5,7,3,80.51,2693.0,5
3,871.8,6,10,4,45.68,903.1,2
5,1041.0,1,6,2,189.5,2349.0,6
6,804.2,6,9,3,88.44,3346.0,10
6,1275.0,7,10,3,77.4,3536.0,4
8,1427.0,8,12,2,155.9,2510.0,5
6,649.3,0,7,2,104.2,3406.0,4
3,1431.0,7,10,3,198.8,2645.0,4
5,1256.0,12,14,4,105.9,3399.0,6
5,792.7,4,6,1,129.3,2744.0,8
6,669.0,3,8,2,138.8,2965.0,4
9,848.3,6,9,2,208.1,2970.0,12
9,606.8,5,7,2,95.07,2611.0,4
5,1108.0,7,8,2,200.0,2808.0,9
6,527.0,4,7,2,25.63,1666.0,5
5,712.7,3,8,2,140.4,4355.0,9
6,923.8,7,7,2,108.7,2891.0,5
5,953.4,7,9,3,63.72,4177.0,4
2,464.6,3,5,2,32.62,2307.0,5
2,846.0,6,7,5,333.0,1997.0,6
4,460.5,3,7,3,54.21,3235.0,7
8,766.1,2,7,2,102.0,3106.0,3
4,865.3,0,9,2,172.5,3969.0,4
2,608.4,2,6,2,444.9,3446.0,3
4,395.5,6,6,3,97.6,2799.0,6
6,605.8,6,9,2,88.44,2265.0,5
4,686.8,4,7,2,76.72,2544.0,11
6,1038.0,9,8,3,170.4,4213.0,4
6,1320.0,0,11,1,171.0,2685.0,2
3,869.6,8,9,2,101.4,2280.0,10
2,530.5,4,5,1,128.5,3162.0,8
4,640.3,3,6,2,290.9,4905.0,10
5,706.4,0,6,1,76.29,3233.0,9
